"","Matrimonios","Divorcios","Relación_divorcios_matrimonios","Divorcios_judiciales","Divorcios_administrativos"
"1",671640,35029,5.2,28296,6733
"2",658114,37455,5.7,30557,6898
"3",670523,38545,5.7,32333,6212
"4",707840,40792,5.8,34201,6591
"5",704456,45889,6.5,38732,7157
"6",743856,49271,6.6,41787,7484
"7",707422,52358,7.4,44051,8307
"8",665434,57370,8.6,47939,9431
"9",616654,60641,9.8,50351,10290
"10",584142,64248,11,52853,11395
"11",600563,67575,11.3,55889,11686
"12",595713,70184,11.8,58334,11850
"13",586978,72396,12.3,60233,12163
"14",595209,77255,13,65341,11914
"15",589352,81851,13.9,68978,12873
"16",558913,84302,15.1,71689,12613
"17",568632,86042,15.1,73953,12089
"18",570954,91285,16,78086,13199
"19",585434,99509,17,86610,12899
"20",583264,108727,18.6,95937,12790
"21",577713,113478,19.6,99917,13561
"22",558022,123883,22.2,110865,13018
"23",543749,139807,25.7,126168,13639
"24",528678,147581,27.9,134166,13415
"25",501298,156556,31.2301265913688,142588,13968
"26",504923,160107,31.7091913024362,145705,14402
