"","desc_entidad","media2015","media2020"
"1","Ciudad de México",36.8398236875,37.9446946409379
"2","Querétaro",36.5127463333333,35.2375111356111
"3","Baja California",34.3049368,34.6737174842394
"4","Jalisco",34.886035608,34.2083188602891
"5","Aguascalientes",35.2604293636364,34.1146496173871
"6","México",33.484926104,33.6448135370778
"7","Guanajuato",34.6250795,33.562215299206
"8","Tlaxcala",33.3854992666667,33.4129113579247
"9","Colima",33.8572169,33.4023868335414
"10","Chiapas",33.6049705762712,32.7117538661068
"11","Quintana Roo",32.8122074,32.3891529912497
"12","Puebla",33.6082893009259,32.2880684126414
"13","Baja California Sur",31.439511,32.1292067288012
"14","Sinaloa",32.1524667222222,31.8229112750709
"15","Morelos",32.1804051818182,31.8200303641581
"16","San Luis Potosí",32.9517925862069,31.6505243139934
"17","Hidalgo",31.6276410595238,31.589233951703
"18","Guerrero",32.9329394444444,31.5433514485688
"19","Zacatecas",32.0412626206897,31.3270340782364
"20","Sonora",31.3358653521127,31.2447882781904
"21","Oaxaca",32.2207691766784,31.233930743512
"22","Durango",31.695264974359,31.0839287006437
"23","Michoacán de Ocampo",31.972445539823,30.9788860050149
"24","Veracruz de Ignacio de la Llave",32.3403513018868,30.8457993329113
"25","Tabasco",31.2160043529412,30.7805208936734
"26","Nayarit",31.39975145,30.6888786863906
"27","Campeche",31.7444110909091,30.5879127604095
"28","Yucatán",31.5368655660377,30.575638642811
"29","Chihuahua",30.0292167258065,29.9135993435313
"30","Nuevo León",29.507650254902,29.785987693858
"31","Coahuila de Zaragoza",29.7405625789474,29.6069662386275
"32","Tamaulipas",29.0847440697674,28.7800217722414
